Title,Year,Approach,Measured Property,Variability,Measurement Properties,Result,Correlation?,Validity,Software Systems,Comments,References,
Reviewer Suggested Literature,,,,,,,,,,,,
,,,,,,,,,,,,
Green tracker: a tool for estimating the energy consumption of software,2010,,,,,"no energy.
no correlation analysis",,,,,,
Measuring Application Software Energy Efficiency,2012,"performance-energy measurement stdy of management information systems
variying HW and SWS while maintaining WL
conclusion: SW is important / underrated property in SE","- energy
- performance",HW SW,,the fastest application is also the most energy efficient,pos. corr.,,,,,
GreenOracle: Estimating Software Energy Consumption with Energy Measurement Corpora,2016,,,,,Already in the Literature Analyse,,,,,,
Green AI: do deep learning frameworks have different costs?,2022,,,,,Already in the Literature Analyse,,,,,,
,,,,,,,,,,,,
Initial Set,,,,,,,,,,,,
,,,,,,,,,,,,
Eflect: Porting Energy-Aware Applications to Shared Environments,2022,modeling energy consumption per application in an multi application system,"- energy consumption
- power",SW,,no perf.,,,,,,
Green AI: Do Deep Learning Frameworks Have Different Costs?,2022,Energy consumption analysis of DNNs with different examples,"- energy
- performance","HW components
SW DNNs
WL",,very strong positive correlation (p. 6),pos. corr.,,,,,
EREBA: Black-box Energy Testing of Adaptive Neural Networks,2022,model for identifacation of high energy demanding inputs for AdNNs,Energy,,,no perf.,,,,,,
Taming Energy Consumption Variations in Systems Benchmarking,2020,Impact analysis of controllable variables while measuring energy consumption,"- Energy
- Performance","HW, WL, CFG",,no correlation analysis,,,,,,
"SPEC CPU2017: Performance, Event, and Energy Characterization on the Core i7-8700K",2019,SPEC CPU 2017 Benchmark Suite Execution,"- Energy
- Performance","WL, CFG (2: threads, rate)",,no correlation analysis,,,,,,
Measuring the Energy Efficiency of Transactional Loads on GPGPU,2019,GPU Energy Efficiency of Devices,"- Energy
- Performance (Time?)","HW, WL",,"perf scales linarly with load
energy not (depending on the device)",No correlation,,,,,
Alternating Blind Identification of Power Sources for Mobile SoCs,2022,energy consumption prediction of HW components via thermal sensors and total energy consumption,,,,no perf.,,,,,,
